song,genre
Polarize,EDM
Bottle It Up,Metal
Bottle It Up,Jazz
Go Your Own Way,Rock
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Hip hop
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",Rap
Love Never Felt So Good,Pop
The Devil Went Down to Georgia,Country
Lover,Pop
Shake Your Body (Down to the Ground) [Single Version],Pop
Bat Country,Rock
Music.,Pop
Down Under,Rock
Know Your Enemy,Jazz
Take Me Home Tonight,Rock
Fallin',R&B
Fallin',Gospel
My First Kiss (feat. Ke$ha),Pop
I Don't Dance,Country
Blame (feat. John Newman),Video game music
Drinking Class,Country
Sunflower (Spider-Man: Into the Spider-Verse),Hip hop
Sunflower (Spider-Man: Into the Spider-Verse),Rap
(I've Had) The Time of My Life,K pop
Should've Been a Cowboy,Country
Tonight Tonight,Pop
Ready Set Roll,Country
Like a Stone,Rock
Don't,R&B
Don't,Gospel
Where Do Broken Hearts Go,Pop
Message Man,Gospel
Cat's In the Cradle,Pop
The Boys of Fall,Country
Fighter,Pop
I'm On Fire,Rock
Your Body Is a Wonderland,Rock
Ms. Jackson,Hip hop
Ms. Jackson,Rap
Because of You,Pop
Runaway,Pop
Ready to Run,Pop
Emperor's New Clothes,Lofi
Take Over Control (feat. Eva Simons) [Radio Edit],Classical
Old Man,Rock
Heaven,Country
What It Feels Like for a Girl,Pop
Ice Cream Paint Job,Hip hop
Ice Cream Paint Job,Rap
We Don't Believe What's On TV,Gospel
You Rock My World,Pop
Post To Be (feat. Chris Brown & Jhene Aiko),R&B
Post To Be (feat. Chris Brown & Jhene Aiko),Video game music
The One That Got Away,Country
GDFR (feat. Sage the Gemini & Lookas),Hip hop
GDFR (feat. Sage the Gemini & Lookas),Rap
Ophelia,Jazz
Why Am I the One,Latin
Goner,Hip hop
Up All Night,Pop
Hypnotized (feat. Akon),Hip hop
Hypnotized (feat. Akon),Rap
Drunk,Pop
Nina,Pop
Bad Girlfriend,Rock
Man In the Box,Rock
Cry Me a River,Pop
Outside (feat. Ellie Goulding),K pop
Venom (Music From The Motion Picture),Hip hop
Venom (Music From The Motion Picture),Rap
Even My Dad Does Sometimes,Pop
Heal the World,Pop
Who I Am With You,Country
Off the Wall (Single Version),Pop
Peter Pan,Country
It's Been Awhile,Rock
Better Now,Hip hop
Better Now,Rap
Midnight,Rock
Music To My Eyes,Classical
PILLOWTALK,Pop
So Far Away,Rock
Man In the Box,Rock
Cry Me a River,Pop
Outside (feat. Ellie Goulding),Jazz
Venom (Music From The Motion Picture),Hip hop
Venom (Music From The Motion Picture),Rap
Even My Dad Does Sometimes,Pop
Heal the World,Pop
Who I Am With You,Country
Off the Wall (Single Version),Pop
Peter Pan,Country
It's Been Awhile,Rock
Better Now,Hip hop
Better Now,Rap
Midnight,Lofi
Music To My Eyes,EDM
PILLOWTALK,Pop
So Far Away,Rock
Beautiful Crazy,Country
Moments,Pop
Versace On The Floor,Pop
Animal I Have Become,Rock
Fireball (feat. John Ryan),Pop
All Alone,R&B
Once In a Lifetime,R&B
Numb,Rock
Take a Walk,Classical
Home,Rock
HandClap,Jazz
Not Today,Rock
Infinity,Pop
Fireball (feat. John Ryan),Pop
Lose Yourself to Dance,Pop
Natalie,Pop
Neon Light,Country
Hometown,Video game music
Stop This Train,Pop
Ayy Ladies (feat. Tyga),Hip hop
Ayy Ladies (feat. Tyga),Rap
Girl Almighty,Pop
Airplanes (feat. Hayley Williams of Paramore),Hip hop
Airplanes (feat. Hayley Williams of Paramore),Rap
When I'm Gone,Hip hop
When I'm Gone,Rap
I Do Not Hook Up,Pop
Blame It On the Boogie,Pop
Riot,Rock
Go Girl (feat. Trina & Young Boss),Hip hop
